"name","age"
"Max",1
"Max",10
"Max",10
"Max",5
"Max",7
"Max",12
"Max",30
"Max",35
"Max",75
"Max",80
"Max",40
"Max",50
"Max",53
"Max",52
"Max",2
"Max",22
"Max",11
"Max",2
"Max",3
"Max",3
"Max",3
"Max",66
"Max",61
"Max",34
"Max",22
"Max",37
"Max",30
"Max",0
"Max",0
"Max",100
"Max",32
"Max",43
"Max",88
"Max",77
"Max",55
"Max",44
"Max",33
"Max",22
"Max",99
"Max",110
"Max",83
"Max",21
"Max",12
"Max",13
"Max",15
"Max",14
"Max",61
"Max",44
"Max",76
"Max",79
"Max",33
"Max",45
"Max",32
"Max",4
"Max",51
"Max",58
"Max",77
"Max",11
"Max",64
"Max",76
"Max",88
"Max",93
"Max",11
"Max",8
"Max",8
"Max",10
"Max",4
"Max",3
"Max",33
"Max",11
